File No,Player Name,Innings,Batting Position,Runs,Dots,1s,2s,3s,4s,6s,Balls Played,Wicket Method,Balls Bowled,Runs Given,Extras Given,Wickets Taken
564785.csv,CK Kapugedera,2,6,9,2,3,1,0,1,0,7,lbw,0,0,0,0
564785.csv,BMAJ Mendis,2,7,72,41,37,4,1,6,0,89,caught,30,25,0,0
564785.csv,NLTC Perera,2,8,18,7,10,0,0,2,0,19,caught,63,49,5,1
564785.csv,SMSM Senanayake,2,9,7,3,3,2,0,0,0,8,bowled,61,49,5,1
564785.csv,SL Malinga,2,10,10,5,2,0,0,2,0,9,caught,61,63,6,3
564785.csv,N Pradeep,2,,0,0,0,0,0,0,0,0,,60,63,0,2
534215.csv,AN Cook,1,1,40,36,16,2,0,5,0,59,caught,0,0,0,0
534215.csv,IR Bell,1,2,41,38,12,3,1,5,0,59,lbw,0,0,0,0
534215.csv,IJL Trott,1,3,54,34,29,5,1,3,0,72,bowled,0,0,0,0
534215.csv,RS Bopara,1,4,15,12,6,1,1,1,0,21,caught,6,4,1,0
534215.csv,EJG Morgan,1,5,89,19,27,9,0,5,4,64,,0,0,0,0
534215.csv,C Kieswetter,1,6,25,11,15,1,0,2,0,29,caught,0,0,0,0
534215.csv,GP Swann,1,,0,0,0,0,0,0,0,0,,60,47,0,1
534215.csv,JM Anderson,1,,0,0,0,0,0,0,0,0,,55,54,3,2
534215.csv,SCJ Broad,1,,0,0,0,0,0,0,0,0,,62,45,2,2
534215.csv,ST Finn,1,,0,0,0,0,0,0,0,0,,61,46,1,2
534215.csv,TT Bresnan,1,,0,0,0,0,0,0,0,0,,63,51,3,2
534215.csv,SR Watson,2,1,12,10,6,1,0,1,0,18,caught,61,64,1,1
534215.csv,DA Warner,2,2,56,35,18,1,2,6,1,63,caught,0,0,0,0
534215.csv,GJ Bailey,2,3,29,21,13,2,0,3,0,39,bowled,0,0,0,0
534215.csv,MJ Clarke,2,4,61,37,20,4,1,6,1,69,lbw,0,0,0,0
534215.csv,DJ Hussey,2,5,13,20,7,1,0,1,0,29,bowled,0,0,0,0
534215.csv,SPD Smith,2,6,8,7,4,2,0,0,0,13,caught,0,0,0,0
534215.csv,MS Wade,2,7,27,16,12,1,1,1,1,32,run out,0,0,0,0
534215.csv,B Lee,2,8,29,9,6,2,1,4,0,22,,60,57,0,1
534215.csv,CJ McKay,2,9,2,4,2,0,0,0,0,6,caught,61,42,5,1
534215.csv,PJ Cummins,2,10,4,3,0,0,0,1,0,4,lbw,61,52,1,1
534215.csv,XJ Doherty,2,11,6,6,6,0,0,0,0,12,,61,49,1,1
